# without pmt position offset
# add offset in mac file
#pmtno           x           y           z   nring   region
#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-#-
     1      500.50        0.00      922.00       1        1
     2      250.25      433.45      922.00       1        1
     3     -250.25      433.45      922.00       1        1
     4     -500.50        0.00      922.00       1        1
     5     -250.25     -433.45      922.00       1        1
     6      250.25     -433.45      922.00       1        1
     7      929.00        0.00      600.00       2        0
     8      464.50      804.54      600.00       2        0
     9     -464.50      804.54      600.00       2        0
    10     -929.00        0.00      600.00       2        0
    11     -464.50     -804.54      600.00       2        0
    12      464.50     -804.54      600.00       2        0
    13      929.00        0.00        0.00       3        0
    14      464.50      804.54        0.00       3        0
    15     -464.50      804.54        0.00       3        0
    16     -929.00        0.00        0.00       3        0
    17     -464.50     -804.54        0.00       3        0
    18      464.50     -804.54        0.00       3        0
    19      929.00        0.00     -600.00       4        0
    20      464.50      804.54     -600.00       4        0
    21     -464.50      804.54     -600.00       4        0
    22     -929.00        0.00     -600.00       4        0
    23     -464.50     -804.54     -600.00       4        0
    24      464.50     -804.54     -600.00       4        0
    25      500.50        0.00     -922.00       5       -1
    26      250.25      433.45     -922.00       5       -1
    27     -250.25      433.45     -922.00       5       -1
    28     -500.50        0.00     -922.00       5       -1
    29     -250.25     -433.45     -922.00       5       -1
    30      250.25     -433.45     -922.00       5       -1
    31        0.00        0.00     -922.00       6       -1
